Booking ID,Space ID,Doctor ID,Start Timestamp,End Timestamp,Duration (hours),Activity,Notes,Status,Created At
,1114,,2025-07-10 8:00:00,2025-07-10 10:00:00,2,,,,
,1045,,2025-07-09 10:00:00,2025-07-09 12:00:00,2,,,,
,1077,,2025-07-16 13:00:00,2025-07-16 14:00:00,1,,,,
,1087,,2025-07-09 10:00:00,2025-07-09 12:00:00,2,,,,
,1105,,2025-07-14 10:00:00,2025-07-14 11:00:00,1,,,,
,1087,,2025-07-18 9:00:00,2025-07-18 11:00:00,2,,,,
,1119,,2025-07-17 9:00:00,2025-07-17 10:00:00,1,,,,
,1119,,2025-07-15 14:00:00,2025-07-15 15:00:00,1,,,,
,1059,,2025-07-10 8:00:00,2025-07-10 10:00:00,2,,,,
,1103,,2025-07-11 14:00:00,2025-07-11 15:00:00,1,,,,
,1097,,2025-07-08 9:00:00,2025-07-08 11:00:00,2,,,,
,1085,,2025-07-12 8:00:00,2025-07-12 10:00:00,2,,,,
,1116,,2025-07-18 15:00:00,2025-07-18 16:00:00,1,,,,
,1101,,2025-07-17 8:00:00,2025-07-17 10:00:00,2,,,,
,1057,,2025-07-11 11:00:00,2025-07-11 12:00:00,1,,,,
,1043,,2025-07-15 9:00:00,2025-07-15 11:00:00,2,,,,
,1117,,2025-07-17 14:00:00,2025-07-17 15:00:00,1,,,,
,1095,,2025-07-08 13:00:00,2025-07-08 15:00:00,2,,,,
,1104,,2025-07-11 13:00:00,2025-07-11 14:00:00,1,,,,
,1006,,2025-07-10 13:00:00,2025-07-10 15:00:00,2,,,,
,1058,,2025-07-12 9:00:00,2025-07-12 11:00:00,2,,,,
,1109,,2025-07-09 8:00:00,2025-07-09 10:00:00,2,,,,
,1044,,2025-07-17 14:00:00,2025-07-17 15:00:00,1,,,,
,1106,,2025-07-08 8:00:00,2025-07-08 10:00:00,2,,,,
,1064,,2025-07-15 9:00:00,2025-07-15 11:00:00,2,,,,
,1039,,2025-07-11 8:00:00,2025-07-11 10:00:00,2,,,,
,1112,,2025-07-10 10:00:00,2025-07-10 11:00:00,1,,,,
,1041,,2025-07-09 8:00:00,2025-07-09 9:00:00,1,,,,
,1102,,2025-07-10 13:00:00,2025-07-10 15:00:00,2,,,,
,1057,,2025-07-16 10:00:00,2025-07-16 12:00:00,2,,,,
,1110,,2025-07-15 14:00:00,2025-07-15 15:00:00,1,,,,
,1107,,2025-07-08 12:00:00,2025-07-08 13:00:00,1,,,,
,1056,,2025-07-12 13:00:00,2025-07-12 14:00:00,1,,,,
,1042,,2025-07-17 13:00:00,2025-07-17 14:00:00,1,,,,
,1118,,2025-07-16 9:00:00,2025-07-16 11:00:00,2,,,,
,1040,,2025-07-10 14:00:00,2025-07-10 16:00:00,2,,,,
,1111,,2025-07-11 10:00:00,2025-07-11 11:00:00,1,,,,
,1041,,2025-07-18 13:00:00,2025-07-18 14:00:00,1,,,,
,1040,,2025-07-15 8:00:00,2025-07-15 10:00:00,2,,,,
,1044,,2025-07-11 13:00:00,2025-07-11 14:00:00,1,,,,
,1095,,2025-07-12 10:00:00,2025-07-12 11:00:00,1,,,,
,1075,,2025-07-10 12:00:00,2025-07-10 14:00:00,2,,,,
BK1751749314523,1002,1,2025-07-20T10:00:00Z,2025-07-20T12:00:00Z,2,Patient Consultation,Test booking to verify CSV saving,Confirmed,2025-07-05T21:01:54.523Z
BK1751749322038,1036,2,2025-07-21T14:00:00Z,2025-07-21T16:00:00Z,2,Labwork,Chatbot booking test,Confirmed,2025-07-05T21:02:02.038Z
BK1751749467630,1039,9,2025-07-05T18:00:00.000Z,2025-07-05T19:00:00.000Z,1,Labwork,Booked via chatbot for Labwork,Confirmed,2025-07-05T21:04:27.630Z
BK1751749736217,1040,4,2025-07-16T18:00:00.000Z,2025-07-16T19:00:00.000Z,1,Patient Consultation,Booked via chatbot for Patient Consultation,Confirmed,2025-07-05T21:08:56.217Z
